net_worth,cash,shares_held,profit,Drawdown,Volatility
10167.529968261719,74.09002685546878,48,-30.240234374996362,0.0029653771142222353,0.006565853386824286
10218.890319824217,74.09002685546878,48,51.36035156249818,0.0,0.006622641446709815
10234.729675292969,74.09002685546878,48,15.839355468751819,0.0,0.006682082280558426
10267.849792480469,74.09002685546878,48,33.1201171875,0.0,0.006127149098319908
10253.930114746094,74.09002685546878,48,-13.919677734375,0.001355656541116223,0.005625440102531082
10157.450378417969,74.09002685546878,48,-96.479736328125,0.01075195063170379,0.005657814593747776
10079.689880371094,74.09002685546878,48,-77.760498046875,0.018325152384598725,0.005735828215685747
10060.009704589844,74.09002685546878,48,-19.68017578125,0.020241831745808563,0.005705902806141233
10046.090026855469,74.09002685546878,48,-13.919677734375,0.021597488286924784,0.005235898211080835
10075.849792480469,74.09002685546878,48,29.759765625,0.018699143820803534,0.005259696960858569
9987.050231933592,74.09002685546878,48,-88.79956054687682,0.027347455038981665,0.0051809155602206515
10050.890319824217,74.09002685546878,48,63.840087890625,0.021129981158775752,0.005490679876729131
10079.210144042969,74.09002685546878,48,28.31982421875182,0.018371874564784525,0.005650662846686316
10062.890319824217,74.09002685546878,48,-16.31982421875182,0.019961284669975533,0.004849486210094384
10192.969909667965,74.09002685546878,48,130.07958984374818,0.007292654677062084,0.004587740772730143
9829.610290527346,74.09002685546878,48,-363.35961914061954,0.04268074726551438,0.005513340759026536
9654.890319824217,74.09002685546878,48,-174.71997070312864,0.059696965289183036,0.009898967735418216
9827.689880371094,74.09002685546878,48,172.79956054687682,0.04286777864940337,0.010572429759032116
9993.770202636715,74.09002685546878,48,166.08032226562136,0.026692987858516627,0.011551775243263975
10129.129821777342,74.09002685546878,48,135.35961914062682,0.013510128557267818,0.012294708672305471
10150.249938964844,74.09002685546878,48,21.12011718750182,0.011453211323927603,0.012729696969775724
10077.770202636715,74.09002685546878,48,-72.47973632812864,0.01851211243691508,0.012680095082906644
10137.770202636715,74.09002685546878,48,60.0,0.01266862999291398,0.012768205239745943
10131.529968261719,74.09002685546878,48,-6.240234374996362,0.013276374993193035,0.012831168045316674
10281.28973388672,74.09002685546878,48,149.75976562500182,0.0,0.012829827462881848
10317.28973388672,74.09002685546878,48,36.0,0.0,0.013103681864171745
10391.689880371094,74.09002685546878,48,74.40014648437318,0.0,0.01295450942277364
10390.249938964844,74.09002685546878,48,-1.43994140625,0.00013856662610476004,0.01299755020215951
10447.849792480469,74.09002685546878,48,57.599853515625,0.0,0.012983593236389927
10433.930114746094,74.09002685546878,48,-13.919677734375,0.0013323007136256187,0.01300967431380205
10461.770202636715,74.09002685546878,48,27.840087890621362,0.0,0.012772138709270926
10451.210144042969,74.09002685546878,48,-10.560058593746362,0.0010093950057405078,0.01273517830850039
10494.40985107422,74.09002685546878,48,43.19970703125182,0.0,0.012755201225031036
10455.050231933592,74.09002685546878,48,-39.35961914062864,0.0037505319212018137,0.012732781078105765
10501.610290527346,74.09002685546878,48,46.56005859375364,0.0,0.01252893110080001
10473.28973388672,74.09002685546878,48,-28.320556640625,0.0026967822893000214,0.008677697689722074
10478.090026855469,74.09002685546878,48,4.800292968748181,0.002239681631786751,0.007157343434782206
10467.050231933592,74.09002685546878,48,-11.039794921876819,0.0032909294515458716,0.006383856095433306
10479.050231933592,74.09002685546878,48,12.0,0.0021482475515305728,0.005534486134857831
10495.849792480469,74.09002685546878,48,16.79956054687682,0.0005485347377699684,0.0048303867103436345
10487.210144042969,74.09002685546878,48,-8.6396484375,0.001371232228772194,0.004830066978769996
10420.490173339844,74.09002685546878,48,-66.719970703125,0.0077245408031065225,0.004371582732704618
